Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
getWidth	161	554.06	13.34	538.05	12.95	3.44	57.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,905"
getDom	"4,941"	203.02	4.89	202.02	4.86	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	280
getViewportWidth	16	188.02	4.53	188.02	4.53	11.75	70.01	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,050"
removeClass	431	184.02	4.43	183.02	4.41	0.43	28	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,682"
updateFieldReadOnlyState	"2,140"	402.04	9.68	171.02	4.12	0.19	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/fields/objectfield.js?t=20120301115100	308
canLayout	asdasdas	asdasdasdasd	asdasd	159.02	dasdasd	0.69	49.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,570"
blur	1	158.02	3.8	158.02	3.8	158.02	158.02	158.02	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,066"
getXY	80	141.01	3.39	140.01	3.37	1.76	98.01	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,063"
addClass	460	140.01	3.37	137.01	3.3	0.3	20	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,648"
getDocumentWidth	1	135.01	3.25	135.01	3.25	135.01	135.01	135.01	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,040"
getScroll	"1,116"	131.01	3.15	131.01	3.15	0.12	8	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,293"
updateProgress	2	130.01	3.13	129.01	3.11	65.01	128.01	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"11,761"
JScript - window script block	"2,067"	131.01	3.15	127.01	3.06	0.06	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,768"
fireEvent	"4,293"	"1,798.18"	43.28	121.01	2.91	0.42	414.04	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,955"
setVisible	64	120.01	2.89	111.01	2.67	1.88	94.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,261"
